"llaveho","c_ingxtrab","ingxtrab","c_ingxrnta","ingxrnta","c_ingxinv","ingxinv","c_otrosing","otrosing","ing_total","tipo_ing","destiping"
"0000073031",1,278400,0,0,0,0,0,0,278400,1,"Con Ingreso Positivo"
"0000073041",1,41600,0,0,0,0,0,0,41600,1,"Con Ingreso Positivo"
"0000074011",1,104000,0,0,0,0,0,0,104000,1,"Con Ingreso Positivo"
"0000074021",1,46800,0,0,0,0,0,0,46800,1,"Con Ingreso Positivo"
"0000074031",1,104000,0,0,0,0,0,0,104000,1,"Con Ingreso Positivo"
"0000074051",1,120000,0,0,0,0,0,0,120000,1,"Con Ingreso Positivo"
"0000075011",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000075031",1,72000,0,0,0,0,1,24000,96000,1,"Con Ingreso Positivo"
"0000075041",1,78000,0,0,0,0,0,0,78000,1,"Con Ingreso Positivo"
"0000075051",1,67600,0,0,0,0,0,0,67600,1,"Con Ingreso Positivo"
"0000076031",1,228800,0,0,0,0,0,0,228800,1,"Con Ingreso Positivo"
"0000076041",1,310000,0,0,1,1300,1,24000,335300,1,"Con Ingreso Positivo"
"0000076051",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000077011",1,116400,1,60000,0,0,1,3000,179400,1,"Con Ingreso Positivo"
"0000077021",1,223600,0,0,0,0,0,0,223600,1,"Con Ingreso Positivo"
"0000077031",1,324000,0,0,0,0,1,0,324000,1,"Con Ingreso Positivo"
"0000077041",1,265200,0,0,0,0,0,0,265200,1,"Con Ingreso Positivo"
"0000078021",1,156000,0,0,0,0,0,0,156000,1,"Con Ingreso Positivo"
"0000078031",1,237600,0,0,0,0,1,13200,250800,1,"Con Ingreso Positivo"
"0000079011",1,420000,1,48000,0,0,0,0,468000,1,"Con Ingreso Positivo"
"0000079021",1,0,0,0,0,0,1,14400,14400,1,"Con Ingreso Positivo"
"0000079041",1,180000,0,0,0,0,0,0,180000,1,"Con Ingreso Positivo"
"0000079051",1,132000,0,0,0,0,1,60000,192000,1,"Con Ingreso Positivo"
"0000080011",1,0,0,0,0,0,1,69300,69300,1,"Con Ingreso Positivo"
"0000080021",1,1284000,0,0,0,0,0,0,1284000,1,"Con Ingreso Positivo"
"0000080031",1,62400,0,0,0,0,0,0,62400,1,"Con Ingreso Positivo"
"0000080051",1,120000,0,0,0,0,0,0,120000,1,"Con Ingreso Positivo"
"0000081011",1,72000,0,0,0,0,0,0,72000,1,"Con Ingreso Positivo"
"0000081021",1,98400,0,0,0,0,0,0,98400,1,"Con Ingreso Positivo"
"0000081051",1,264000,0,0,0,0,0,0,264000,1,"Con Ingreso Positivo"
"0000082011",1,132000,1,14400,0,0,0,0,146400,1,"Con Ingreso Positivo"
"0000082021",1,154800,1,14400,0,0,1,41600,210800,1,"Con Ingreso Positivo"
"0000082031",1,145600,0,0,0,0,1,45600,191200,1,"Con Ingreso Positivo"
"0000082041",1,93600,0,0,0,0,1,9000,102600,1,"Con Ingreso Positivo"
"0000082051",1,36400,0,0,0,0,1,30600,67000,1,"Con Ingreso Positivo"
"0000083011",1,168000,0,0,0,0,0,0,168000,1,"Con Ingreso Positivo"
"0000083021",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000083031",1,298000,0,0,0,0,0,0,298000,1,"Con Ingreso Positivo"
"0000083041",1,213200,0,0,0,0,1,41600,254800,1,"Con Ingreso Positivo"
"0000083051",1,0,1,3600,0,0,0,0,3600,1,"Con Ingreso Positivo"
"0000084011",1,37440,0,0,0,0,0,0,37440,1,"Con Ingreso Positivo"
"0000084021",1,57200,0,0,0,0,0,0,57200,1,"Con Ingreso Positivo"
"0000084031",1,0,0,0,0,0,1,14400,14400,1,"Con Ingreso Positivo"
"0000084041",1,26000,0,0,0,0,1,144000,170000,1,"Con Ingreso Positivo"
"0000085011",1,328000,0,0,0,0,0,0,328000,1,"Con Ingreso Positivo"
"0000085041",1,213200,0,0,0,0,1,8000,221200,1,"Con Ingreso Positivo"
"0000086011",1,312000,0,0,0,0,0,0,312000,1,"Con Ingreso Positivo"
"0000086021",1,72000,0,0,0,0,0,0,72000,1,"Con Ingreso Positivo"
"0000086041",1,156000,0,0,0,0,0,0,156000,1,"Con Ingreso Positivo"
"0000086051",1,240000,0,0,0,0,0,0,240000,1,"Con Ingreso Positivo"
"0000087021",1,348000,0,0,0,0,0,0,348000,1,"Con Ingreso Positivo"
